,academic_year,inst_name,city,state,zipcode,sector
34496,2008,National American University-Rapid City,Rapid City,SD,57701-3692,3
54067,2008,National American University-Roseville,Roseville,MN,55113-4035,3
34483,2008,National American University-Sioux Falls,Sioux Falls,SD,57105-4293,3
41352,2008,National Beauty College,Canton,OH,44709-1837,9
70127,2008,National Conservatory of Dramatic Arts,Washington,DC,20007,5
73883,2008,National Holistic Institute,Emeryville,CA,94608-2008,9
15721,2008,National Institute of Massotherapy,Akron,OH,44319-2100,6
9517,2008,National Labor College,Silver Spring,MD,20903-1706,2
77435,2008,National Park Community College,Hot Springs,AR,71913,4
64781,2008,National University of Health Sciences,Lombard,IL,60148-4583,2
73870,2008,National University,La Jolla,CA,92037-1011,2
70816,2008,Naugatuck Valley Community College,Waterbury,CT,06708-3089,4
31336,2008,Navarro College,Corsicana,TX,75110,4
71500,2008,Nazarene Bible College,Colorado Springs,CO,80910-3704,2
52094,2008,Nazarene Theological Seminary,Kansas City,MO,64131-1246,2
50984,2008,Nebraska Methodist College of Nursing & Allied Health,Omaha,NE,68114,2
50898,2008,Nebraska Wesleyan University,Lincoln,NE,68504-2794,2
46801,2008,Neighborhood Playhouse School of the Theater,New York,NY,10022-5017,5
31323,2008,Neilson Beauty College,Dallas,TX,75208,9
83808,2008,Neosho Beauty College,Neosho,MO,64850,9
61095,2008,Neosho County Community College,Chanute,KS,66720,4
58286,2008,Ner Israel Rabbinical College,Baltimore,MD,21208,2
50568,2008,Nevada System of Higher Education-System Office,Reno,NV,89512,0
49487,2008,New Brunswick Theological Seminary,New Brunswick,NJ,08901-1107,2
13147,2008,New Dimensions School of Hair Design,Joplin,MO,64801-5017,9
56736,2008,New England College of Optometry,Boston,MA,2115,2
50391,2008,New England College,Henniker,NH,3242,2
85135,2008,New England Culinary Institute,Montpelier,VT,5602,3
21193,2008,New England Hair Academy,Malden,MA,2148,9
35680,2008,New England Institute of Technology,Warwick,RI,02886-2244,2
50378,2008,New England School of Hair Design Inc,West Lebanon,NH,03784-2003,9
56689,2008,New England School of Photography,Boston,MA,2215,6
70754,2008,New England Tractor Trailer Training School of Connecticut,Somers,CT,6071,9
10587,2008,New Hampshire Institute of Art,Manchester,NH,03104-4858,2
49708,2008,New Jersey City University,Jersey City,NJ,7305,1
49461,2008,New Jersey Institute of Technology,Newark,NJ,7102,1
48877,2008,New Mexico Highlands University,Las Vegas,NM,87701,1
48831,2008,New Mexico Institute of Mining and Technology,Socorro,NM,87801,1
48864,2008,New Mexico Junior College,Hobbs,NM,88240,4
48851,2008,New Mexico Military Institute,Roswell,NM,88201-5173,4
59522,2008,New Orleans Baptist Theological Seminary,New Orleans,LA,70126,2
9247,2008,New Professions Technical Institute,Miami,FL,33134,9
29046,2008,New River Community College,Dublin,VA,24084-1127,4
77224,2008,New Tyler Barber College Inc,North Little Rock,AR,72114-4973,9
22638,2008,New York Academy of Art,New York,NY,10013-2911,2
45847,2008,New York Career Institute,New York,NY,10007,6
46744,2008,New York Chiropractic College,Seneca Falls,NY,13148-0800,2
13943,2008,New York College of Health Professions,Syosset,NY,11791-4413,2
46596,2008,New York College of Podiatric Medicine,New York,NY,10035-1940,2
46722,2008,New York Institute of English and Business,New York,NY,10001-2505,5
10421,2008,New York Institute of Massage Inc,Williamsville,NY,14221,9
46706,2008,New York Law School,New York,NY,10013-2960,2
46693,2008,New York Medical College,Valhalla,NY,10595,2
46680,2008,New York School for Medical and Dental Assistants,Long Island City,NY,11101,9
46583,2008,New York School of Interior Design,New York,NY,10021,2
46651,2008,New York University,New York,NY,10012-1091,2
35013,2008,Newberry College,Newberry,SC,29108,2
56676,2008,Newbury College-Brookline,Brookline,MA,2445,2
61228,2008,Newman University,Wichita,KS,67213-2097,2
84839,2008,Newport School of Hairdressing-Main Campus,Pawtucket,RI,2860,9
73835,2008,Newschool of Architecture and Design,San Diego,CA,92101,3
46635,2008,Niagara County Community College,Sanborn,NY,14132,4
46622,2008,Niagara University,Niagara University,NY,14109,2
59509,2008,Nicholls State University,Thibodaux,LA,70310,1
52077,2008,Nichols Career Center,Jefferson City,MO,65101,4
56663,2008,Nichols College,Dudley,MA,01571-5000,2
26413,2008,Nicolet Area Technical College,Rhinelander,WI,54501-0518,4
64768,2008,Niles School of Cosmetology,Niles,IL,60714,9
29020,2008,Norfolk State University,Norfolk,VA,23504-8000,1
